severity,category,trail_id,trail_name,region,nearest_town,details
high,contact_email_region_mismatch,408,"Туристическа пътека ""По поречието на р.Бебреш при с.Своде""",Правец,Своде,"contact email suggests Plovdiv, but record region is 'Правец'"
high,contact_email_region_mismatch,409,Разходка до Голак,Разложка котловина,Разлог,"contact email suggests Plovdiv, but record region is 'Разложка котловина'"
high,contact_email_region_mismatch,410,"""Пътека на приказките"" – Паничище",Рила,Паничище,"contact email suggests Plovdiv, but record region is 'Рила'"
high,contact_email_region_mismatch,411,Екопътека до местност Самоковището,Рила,Дупница,"contact email suggests Plovdiv, but record region is 'Рила'"
high,contact_email_region_mismatch,412,"Екопътека и Водопади ""Бохемия"" – Рила",Рила,Рила,"contact email suggests Plovdiv, but record region is 'Рила'"
high,contact_email_region_mismatch,413,"Пътека ""Към царството на еделвайса""",Рила,Разлог,"contact email suggests Plovdiv, but record region is 'Рила'"
high,contact_email_region_mismatch,414,Пътека на глухаря,Рила,Добърско,"contact email suggests Plovdiv, but record region is 'Рила'"
high,contact_email_region_mismatch,415,Пътека на рилската иглика,Рила,Добърско,"contact email suggests Plovdiv, but record region is 'Рила'"
high,contact_email_region_mismatch,416,Пътеката на Дивата коза,Рила,Баня,"contact email suggests Plovdiv, but record region is 'Рила'"
high,contact_email_region_mismatch,417,Самодивска пътека,Рила,Бачево,"contact email suggests Plovdiv, but record region is 'Рила'"
high,contact_email_region_mismatch,418,Хайдушка пътека с.Годлево – връх Равник,Рила,Годлево,"contact email suggests Plovdiv, but record region is 'Рила'"
high,contact_email_region_mismatch,419,Веломаршрут село Смилян - село Чеплят,Родопи,Рудозем,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,420,Връх Драгойна,Родопи,село Драгойново,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,421,"Екопътека ""Драгиева чешма"" – Чавдар",Родопи,Чавдар,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,422,"Екопътека ""Лисичево - Чурал""",Родопи,Девин,"contact email suggests Plovdiv, but record region is 'Родопи'"
