severity,category,trail_id,trail_name,region,nearest_town,details
high,synthetic_without_sources,22,"Екопътека ""Римски мост""",Благоевград,Бръщен,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,23,"Екопътека ""Тай3ните на водата"" и водопад ""Срамежливеца""",Благоевград,Коларово,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,36,Еменски каньон,Велико Търново,Емен,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,39,"Христовски водопад ""Руховци"" (екопътека)",Велико Търново,Христовци,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,44,Нископланинска обиколна пътека (НОП) Витоша,Витоша,София,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,46,Подход от кв. Бояна,Витоша,Бояна,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,47,Подход от кв. Драгалевци,Витоша,Драгалевци,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,48,Подход от кв. Княжево,Витоша,Княжево,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,49,Подход от м. Златни мостове,Витоша,Златни мостове,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,50,Подход от м. Ярема,Витоша,Ярема,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,51,Подход от с. Бистрица,Витоша,Бистрица,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,52,Подход от с. Боснек,Витоша,Боснек,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,54,Подход от с. Железница,Витоша,Железница,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,55,Подход от с. Кладница,Витоша,Кладница,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,59,"Пътека ""Сила и живот""",Витоша,Симеоново,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,64,Врачанска екопътека,Врачанска област,Враца,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,65,Горска пътека на приказките,Врачанска област,Враца,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,71,Наследствена пътека с. Очин дол,Врачански Балкан,Очин дол,ai_enriched is true but metadata.sources_urls is missing
